Extent_north,Datetime,Extent_south,Extent_total
10.231,1978-10-26,17.624,27.854999999999997
10.42,1978-10-28,17.803,28.223
10.557,1978-10-30,17.67,28.227000000000004
10.67,1978-11-01,17.527,28.197000000000003
10.777,1978-11-03,17.486,28.262999999999998
10.968,1978-11-05,17.343,28.311
11.08,1978-11-07,17.157,28.237000000000002
11.189,1978-11-09,17.028,28.217
11.314,1978-11-11,16.815,28.129
11.46,1978-11-13,16.371,27.831
11.539,1978-11-15,16.176,27.714999999999996
11.696,1978-11-17,15.52,27.216
11.87,1978-11-19,15.267,27.137
12.053,1978-11-21,15.027,27.08
12.274,1978-11-23,14.681,26.955
12.441,1978-11-25,14.449,26.89
12.662,1978-11-27,13.98,26.642000000000003
12.684,1978-11-29,13.619,26.302999999999997
12.725,1978-12-01,13.33,26.055
12.66,1978-12-03,13.097,25.756999999999998
12.785,1978-12-05,12.829,25.614
13.051,1978-12-07,12.436,25.487000000000002
13.143,1978-12-09,11.963,25.106
13.437,1978-12-11,11.652,25.089
13.603,1978-12-13,11.148,24.750999999999998
13.649,1978-12-15,10.664,24.313
13.807,1978-12-17,10.239,24.046
13.892,1978-12-19,9.758,23.65
13.996,1978-12-21,9.362,23.358
14.189,1978-12-23,8.706,22.895
14.268,1978-12-25,8.362,22.630000000000003
14.383,1978-12-27,7.907,22.29
14.5,1978-12-29,7.588,22.088
14.585,1978-12-31,7.283,21.868000000000002
14.997,1979-01-02,6.945,21.942
14.922,1979-01-04,6.838,21.76
14.929,1979-01-06,6.638,21.567
14.968,1979-01-08,6.27,21.238
15.19,1979-01-10,6.138,21.328
15.327,1979-01-12,5.952,21.279
15.352,1979-01-14,5.564,20.916
15.5,1979-01-16,5.379,20.878999999999998
15.517,1979-01-18,5.233,20.75
15.709,1979-01-20,4.984,20.692999999999998
15.679,1979-01-22,4.609,20.288
15.745,1979-01-24,4.397,20.142
15.686,1979-01-26,4.184,19.87
15.777,1979-01-28,4.004,19.781
15.912,1979-01-30,3.898,19.810000000000002
15.857,1979-02-01,3.704,19.561
15.839,1979-02-03,3.516,19.355
15.831,1979-02-05,3.367,19.198
15.801,1979-02-07,3.326,19.127
15.99,1979-02-09,3.212,19.202
16.099,1979-02-11,3.043,19.142
16.289,1979-02-13,3.049,19.338
16.323,1979-02-15,2.916,19.239
16.343,1979-02-17,2.911,19.254
16.291,1979-02-19,2.95,19.241
16.26,1979-02-21,2.945,19.205000000000002
16.401,1979-02-23,2.924,19.325
16.579,1979-02-25,2.996,19.575
16.551,1979-02-27,3.116,19.666999999999998
16.635,1979-03-01,3.248,19.883000000000003
16.457,1979-03-03,3.079,19.536
16.568,1979-03-05,3.228,19.796000000000003
16.547,1979-03-07,3.308,19.855
16.536,1979-03-09,3.366,19.902
16.513,1979-03-11,3.443,19.956000000000003
16.414,1979-03-13,3.594,20.008000000000003
16.31,1979-03-15,3.721,20.031
16.467,1979-03-17,3.832,20.299
16.505,1979-03-19,4.091,20.596
16.349,1979-03-21,4.248,20.597
16.279,1979-03-23,4.5,20.779
16.264,1979-03-25,4.818,21.082
16.06,1979-03-27,4.894,20.954
15.763,1979-03-29,5.208,20.971
15.804,1979-03-31,5.411,21.215
15.66,1979-04-02,5.649,21.309
15.641,1979-04-04,5.826,21.467
15.695,1979-04-06,6.152,21.847
15.794,1979-04-08,6.409,22.203
15.761,1979-04-10,6.806,22.567
15.655,1979-04-12,7.149,22.804
15.5,1979-04-14,7.309,22.809
15.454,1979-04-16,7.587,23.041
15.51,1979-04-18,7.742,23.252
15.343,1979-04-20,8.01,23.353
15.255,1979-04-22,8.273,23.528
15.224,1979-04-24,8.572,23.796
15.141,1979-04-26,8.791,23.932000000000002
15.108,1979-04-28,8.97,24.078000000000003
14.961,1979-04-30,9.038,23.999000000000002
14.626,1979-05-02,9.162,23.788
14.498,1979-05-04,9.498,23.996
14.45,1979-05-06,9.968,24.418
14.325,1979-05-08,9.848,24.173000000000002
14.149,1979-05-10,10.109,24.258
14.012,1979-05-12,10.342,24.354
13.836,1979-05-14,10.656,24.492
13.862,1979-05-16,10.953,24.814999999999998
13.691,1979-05-18,11.145,24.836
13.56,1979-05-20,11.273,24.833
